facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
Kapkole Dispensary,14723,Dispensaries and clinic-out patient only,Public,0.532888,35.736204,BARINGO,Operating
Kaplenge Dispensary,14739,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Kapkata Dispensary,14705,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Kapchelal Dispensary,14692,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Jericho Health Centre,12988,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Kapkesosio Dispensary,14714,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Kapchepkor Dispensary,14694,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kapkelelwa Dispensary,14710,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kaplel Dispensary,14735,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kapkuei Dispensary,14729,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kasitet Dispensary,14811,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Keturwo Dispensary,14843,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kuinet Dispensary,14999,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Kurangurik Health centre,15002,Basic primary health care facility,Public,,,NAROK,Operating
Kalaacha Dispensary,14657,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Kabiemit Dispensary (Mosop),14618,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Kabisaga Dispensary,14621,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Kaboeito Dispensary,14625,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Kabolecho Dispensary,14626,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Kaborok Dispensary,14627,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Kangatosa Dispensary,14687,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Kabunyeria Health Centre,14632,Basic primary health care facility,Public,,,NANDI,Operating
Kaibos Dipensary,14641,Dispensaries and clinic-out patient only,Public,,,WEST POKOT,Operating
Kainuk Health Centre,14645,Basic primary health care facility,Public,,,TURKANA,Operating
Kaitui Dispensary,14649,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Karagita Dispensary,14801,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Kapngetuny Dispensary,14744,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Kamelil Dispensary (Tinderet),14672,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Kakiptui Dispensary,14653,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Kangakipur Dispensary,14686,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Chepkongony Dispensary,14345,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Kamwingi Dispensary,14679,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Chesubet Dispensary,14388,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Kamoi Dispensary,14675,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Kamogo Health Centre,14674,Basic primary health care facility,Public,,,ELEGEYO-MARAKWET,Operating
Kalwal Dispensary,14664,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Kabiemit Dispensary (Keiyo),14617,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Amani Medical Clinic (Kambu),11925,Dispensaries and clinic-out patient only,Private,,,MAKUENI,Operating
Kamongil Dispensary,14676,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Gynapaed Dispensary (Kilimani-),12966,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Ilaiser Dispensary,14562,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Ewaso Ngiro Dispensary,14484,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Elelea Sub-county Hospital,14436,Primary care hospitals,Public,,,TURKANA,Operating
GK Prisons Dispensary (Turkana Central),14527,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
GK Remand Prisons Dispensary (Trans Nzoia West),14528,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Entontol Dispensary,14471,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Enaibor Ajijik Dispensary,14454,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Athi Kamunyuni Dispensary,11934,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Geta Dispensary,14506,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Jagoror Dispensary,14588,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Eburru Dispensary,14425,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Engashura Health Centre,14458,Basic primary health care facility,Public,,,NAKURU,Operating
Cengalo Dispensary,14283,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Kaiboi Mission Health Centre,14640,Basic primary health care facility,Faith-Based,,,NANDI,Operating
Flax Dispensary,14499,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Kabalwat Dispensary,14605,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Emsea Dispensary,14449,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Burgei Dispensary,14273,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Chebilat Dispensary,14295,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Itembe Dispensary,14585,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Chamalal Dispensary,14285,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Illinga'rua Dispensary,14568,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Cheberen Dispensary,14292,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Mikaro Dispensary,10731,Dispensaries and clinic-out patient only,Public,,,NYANDARUA,Operating
Nyina Wa Mumbi Dispensary,13129,Dispensaries and clinic-out patient only,Faith-Based,,,NAIROBI,Operating
Takitech Dispensary,15700,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Mbogo Valley Dispensary,15164,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Sweet Waters Dispensary,15694,Dispensaries and clinic-out patient only,Public,,,LAIKIPIA,Operating
Sosit Dispensary,15618,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Sosian Dispensary,15614,Dispensaries and clinic-out patient only,Public,,,LAIKIPIA,Operating
Songonyet Dispensary,15611,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Endoinyo Erinka Dispensary,14457,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
South Horr Dispensary,15621,Dispensaries and clinic-out patient only,Public,,,SAMBURU,Operating
GK Prisons Dispensary (Ngeria),14524,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
GK Prisons Dispensary,14523,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
GK Farm Prisons Dispensary (Trans Nzoia),14514,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Swari Model Health Centre,15693,Dispensaries and clinic-out patient only,Public,,,SAMBURU,Operating
Subukia Dispensary (Kipkelion),15677,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Kambu Integrated Health Clinic,12090,Dispensaries and clinic-out patient only,Private,,,MAKUENI,Operating
Bethel Medical Clinic,10061,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Chechan Dispensary,14305,Dispensaries and clinic-out patient only,Public,1.11314,35.6322,ELEGEYO-MARAKWET,Operating
Machakos Level 5 Hospital,12438,Comprehensive Teaching &Referral,Public,,,MACHAKOS,Operating
Gorgor Dispensary,14531,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Gelegele Dispensary,14505,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Gwitembe Health Centre,13597,Basic primary health care facility,Public,,,MIGORI,Operating
Focus Medical Clinic and Counselling Centre,10184,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Soymet Dispensary,15624,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Lugari Forest Dispensary,15964,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
Karen Health Centre,13003,Dispensaries and clinic-out patient only,Public,-1.283855,36.817846,NAIROBI,Operating
Mtito andei Sub District,12547,Primary care hospitals,Public,,,MAKUENI,Operating
Chebango Dispensary,14290,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Ngiluni Dispensary,12651,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
General Medical Laboratory,16572,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Muumandu Health Center,12612,Dispensaries and clinic-out patient only,Public,,,MACHAKOS,Operating
Cheboyo Dispensary,14302,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Chebunyo Dispensary,14304,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Talai Dispensary,15701,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Sore Dispensary,15613,Dispensaries and clinic-out patient only,Public,0.198243,35.75419,BARINGO,Operating
Igure Dispensary,14557,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
St Michael Clinic,13219,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Matanya Dispensary,15152,Dispensaries and clinic-out patient only,Public,,,LAIKIPIA,Operating
St Marys Medical Clinic (Kiaragana),12763,Dispensaries and clinic-out patient only,Private,,,EMBU,Operating
Family Care Medical Centre (Meru),12015,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Meru Medical Diagnostic Imaging Centre Ltd,16606,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Nana Dispensary,12634,Dispensaries and clinic-out patient only,Public,,,MARSABIT,Operating
Tachasis Mission Dispensary,15698,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Buuri Chemist / Laboratory,16559,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Lokori Primary Health Care Programme,16324,Administrative Offices,Kenya Episcopal Conference-Cat,,,TURKANA,Operating
Awendo Sub-District Hospital,13492,Primary care hospitals,Public,,,MIGORI,Operating
Matharu Dispensary,15154,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Posland Medical Clinic,16629,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Nzoila Dispensary,12694,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Turkwel Health Centre (Loima),15754,Basic primary health care facility,Public,,,TURKANA,Operating
Afya Medical Clinic (KIBIRICHIA),16556,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Uhuru Dispensary,15759,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Simba Opepo Dispensary,14088,Dispensaries and clinic-out patient only,Public,,,KISUMU,Operating
Tuum Dispensary,15757,Dispensaries and clinic-out patient only,Public,,,SAMBURU,Operating
Nyametembe Dispensary,13910,Dispensaries and clinic-out patient only,Public,,,MIGORI,Operating
Sugoi B Dispensary,15680,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Tapach Dispensary,15708,Dispensaries and clinic-out patient only,Public,,,WEST POKOT,Operating
Mbotela Clinic,13081,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Tunyo Dispensary,15752,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Tuturung Dispensary,15756,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Suleman Farooq Memorial Centre,12018,Primary care hospitals,Faith-Based,,,TAITA TAVETA,Operating
Kabetwa Health Centre,14612,Basic primary health care facility,Public,,,ELEGEYO-MARAKWET,Operating
Hurri-Hills Dispensary,12061,Basic primary health care facility,Public,,,MARSABIT,Operating
Matira Dispensary,15155,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Chelelach Dispensary,14308,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Tarakwa Health centre,15710,Basic primary health care facility,Public,,,BOMET,Operating
Itare Dispensary,14584,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Tirriondonin Dispensary,15730,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Bossei Dispensary,14270,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Sumeiyon Dispensary,15684,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Timboiywo Dispensary,15724,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Borrowonin Dispensary,14269,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Tinet Dispensary (Koibatek),15727,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Chemaner Dispensary (Bomet),14311,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Kerio Health Centre,14838,Basic primary health care facility,Public,,,TURKANA,Operating
Kobujoi Forest,14959,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Lingwai Dispensary,15038,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Lochwaangikamatak Dispensary,15045,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Kiwamu Dispensary,14954,Basic primary health care facility,Public,,,NAKURU,Operating
Kimong Dispensary,14878,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Kimugul Dispensary (Kipkelion),14882,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Longonot Dispensary,15078,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Lelechwet Dispensary (Rongai),15021,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Lokiriama Dispensary,15061,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Lorien Dispensary,15086,Dispensaries and clinic-out patient only,Public,,,LAIKIPIA,Operating
Lorogon Dispensary,15088,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Losogwa Dispensary,15093,Dispensaries and clinic-out patient only,Public,,,LAIKIPIA,Operating
Litein Dispensary,15039,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Lemotit Dispensary,15026,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Lengenet Dispensary,15027,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Lerrata Dispensary,15028,Dispensaries and clinic-out patient only,Public,,,SAMBURU,Operating
Lessos Community Dispensary,15030,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Nairobi Hospital,13110,Primary care hospitals,Private,-1.29639,36.803705,NAIROBI,Operating
Masogo Sub County Hospital,13785,Secondary care hospitals,Public,,,KISUMU,Operating
Lemoru Ngeny Dispensary,15025,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Kimuren Dispensary,14884,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Lugumek Dispensary,15100,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Likwon Dispensary,15036,Dispensaries and clinic-out patient only,Public,0.751037,35.693738,BARINGO,Operating
ABC Thange Dispensary,12126,Dispensaries and clinic-out patient only,Faith-Based,,,MAKUENI,Operating
Baragu Health Centre,11942,Basic primary health care facility,Public,,,THARAKA-NITHI,Operating
Kimugul Dispensary (Baringo North),14881,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kipcherere Dispensary,14889,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kibwezi Catholic Dispensary,12737,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,MAKUENI,Operating
Nyaani Dispensary,12682,Dispensaries and clinic-out patient only,Public,,,KITUI,Operating
Loboi Dispensary,15042,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Town Medical Clinic,16636,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Nehema Medical Lab,16619,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Diplomat Clinic,16561,Dispensaries and clinic-out patient only,Private,,,MERU,Operating
Kimbimbi Medical Clinic,10607,Dispensaries and clinic-out patient only,Private,,,KIRINYAGA,Operating
Kombe Dispensary (Nandi Central),14982,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Asat Beach Dispensary,13487,Dispensaries and clinic-out patient only,Public,,,KISUMU,Operating
Pandanguo Dispensary,11733,Dispensaries and clinic-out patient only,Public,,,LAMU,Operating
Yago Dispensary,16279,Dispensaries and clinic-out patient only,Public,,,MIGORI,Operating
Nyakurungoto Dispensary,16275,Dispensaries and clinic-out patient only,Public,,,MIGORI,Operating
Kakoneni Dispensary,11452,Dispensaries and clinic-out patient only,Public,,,KILIFI,Operating
Sacha Health Centre,16099,Basic primary health care facility,Public,,,BUNGOMA,Operating
Kibwezi Sub County Hospital,12291,Primary care hospitals,Public,,,MAKUENI,Operating
Kipsegi Dispensary,14913,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Kipsigak Baibai Dispensary,14914,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Kiptome Dispensary,14930,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Kiplombe AIC Dispensary,14904,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Kojonga Dispensary,14973,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Jubilee Medical Clinic,10385,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Lelu Dispensary,15023,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Lomut Health Centre,15073,Basic primary health care facility,Public,,,WEST POKOT,Operating
Kimintet Dispensary,14873,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Afya Medical Clinic (Nyeri South),10014,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
Border Medical Care,14268,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
Union Medical Dispensary,16181,Dispensaries and clinic-out patient only,Faith-Based,,,KILIFI,Operating
Bravo Medical Clinic (Marsabit),16208,Dispensaries and clinic-out patient only,Private,,,MARSABIT,Operating
Hope Medical Clinic (Gatundu South),10323,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Mwichio Amua Medical Clinic,16057,Dispensaries and clinic-out patient only,Private,,,VIHIGA,Operating
Highway Medical Clinic Kibingoti,10718,Dispensaries and clinic-out patient only,Private,,,KIRINYAGA,Operating
Karangia Health Clinic,10483,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
St Jude Clinic,11046,Dispensaries and clinic-out patient only,Private,,,KIRINYAGA,Operating
By Faith Clinic (Kirinyaga),10077,Dispensaries and clinic-out patient only,Private,,,KIRINYAGA,Operating
By Grace Medical (Kutus) Clinic,10079,Dispensaries and clinic-out patient only,Private,,,KIRINYAGA,Operating
Eunice Medical Clinic,10173,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
Leshau Medical Clinic,10656,Dispensaries and clinic-out patient only,Private,,,NYANDARUA,Operating
Laliat Dispensary,15005,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Lelmokwo Dispensary,15022,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Kyaani Dispensary,12402,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Endiba Health Centre,13544,Basic primary health care facility,Public,,,NYAMIRA,Operating
Afya Medical Clinic (Juja),10015,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Kiriita Forest Dispensary,10629,Dispensaries and clinic-out patient only,Public,,,KIAMBU,Operating
Jamii Medical Clinic (Muranga North),10371,Dispensaries and clinic-out patient only,Private,,,MURANG'A,Operating
Kirimukuyu Medical Clinic,10632,Dispensaries and clinic-out patient only,Private,,,NYERI,Operating
Robana Medical Clinic,15488,Dispensaries and clinic-out patient only,Private,,,KAJIADO,Operating
Three In One Clinic,11098,Dispensaries and clinic-out patient only,Private,,,KIRINYAGA,Operating
Maximillan Clinic,11584,Dispensaries and clinic-out patient only,Private,,,MOMBASA,Operating
Kinasia Dispensary,13694,Dispensaries and clinic-out patient only,Public,,,KISUMU,Operating
Bakhita Dispensary,11236,Dispensaries and clinic-out patient only,Public,,,KILIFI,Operating
Latakweny Dispensary,15014,Dispensaries and clinic-out patient only,Public,,,SAMBURU,Operating
St Augastine,11027,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Pona Mat Dispensary,13145,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Med-Point Dispensary,13085,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Prime Health Services Dispensary,13147,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Borana Dispensary,14267,Dispensaries and clinic-out patient only,Private,,,LAIKIPIA,Operating
Misyani Catholic Health Centre,12529,Basic primary health care facility,Kenya Episcopal Conference-Cat,,,MACHAKOS,Operating
Kilingili Health Centre,15945,Basic primary health care facility,Public,,,KAKAMEGA,Operating
Kadinda Health Centre,16283,Basic primary health care facility,Public,,,KISUMU,Operating
APTC Health Centre,12871,Basic primary health care facility,Armed Forces,-1.291843,36.956703,NAIROBI,Operating
Cheptais Sub District Hospital,15855,Primary care hospitals,Public,,,BUNGOMA,Operating
Kusa Health Centre,13727,Basic primary health care facility,Public,,,KISUMU,Operating
Turkwel Health Centre,15755,Basic primary health care facility,Public,,,WEST POKOT,Operating
Gitwamba Health Centre,14512,Basic primary health care facility,Public,,,TRANS NZOIA,Operating
Butula Mission Health Centre,15838,Basic primary health care facility,Faith-Based,,,BUSIA,Operating
Moding Health Centre,16021,Basic primary health care facility,Public,,,BUSIA,Operating
Nyagoro Health Centre,13875,Basic primary health care facility,Public,,,HOMA BAY,Operating
Fatima Health Centre (Lenkism),14493,Basic primary health care facility,Kenya Episcopal Conference-Cat,,,KAJIADO,Operating
Mutithi Health Centre,10798,Basic primary health care facility,Public,,,KIRINYAGA,Operating
Lesirikan Health Centre,15029,Basic primary health care facility,Public,,,SAMBURU,Operating
St Antony's Abossi Health Centre,15627,Basic primary health care facility,Kenya Episcopal Conference-Cat,,,NAROK,Operating
St Anthony Lemek Dispensary,15626,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,NAROK,Operating
Taveta District Hospital,11840,Secondary care hospitals,Public,,,TAITA TAVETA,Operating
Catholic Hospital Wamba,15769,Primary care hospitals,Kenya Episcopal Conference-Cat,,,SAMBURU,Operating
Vihiga Health Centre,16158,Basic primary health care facility,Public,,,VIHIGA,Operating
Bulwani Dispensary,15822,Dispensaries and clinic-out patient only,Public,,,BUSIA,Operating
Jamia Medical Centre,15906,Dispensaries and clinic-out patient only,Supreme Council for Kenya Musl,,,KAKAMEGA,Operating
Seregeya Dispensary,16102,Dispensaries and clinic-out patient only,Public,,,KAKAMEGA,Operating
Pan M Medical Clinic,16089,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
PCEA Kasasule Dispensary,12205,Dispensaries and clinic-out patient only,Christian Health Association o,,,MAKUENI,Operating
National Spinal Injury Hospital,13194,Comprehensive Teaching &Referral,Public,,,NAIROBI,Operating
Lopur Dispensary (Turkana South),15083,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Kokwet Dispensary,14977,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Korongoi Dispensary,14992,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
St Martin Medical Clinic,16644,Dispensaries and clinic-out patient only,Private,,,MAKUENI,Operating
Kipsuter Dispensary,14921,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Kiromwok Dispensary,14939,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Kitoben Dispensary,14952,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Koroto Dispensary,14993,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kipsacho Dispensary,14907,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Koriema Dispensary,14990,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Mutuini Sub-District Hospital,13105,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Mgange Dawida Dispensary,11602,Dispensaries and clinic-out patient only,Public,,,TAITA TAVETA,Operating
Kimout Dispensary,14870,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Kiptewit Dispensary,14929,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Kipkeikei Dispensary,14895,Dispensaries and clinic-out patient only,Public,,,TRANS NZOIA,Operating
Kibwareng Health Centre,14857,Basic primary health care facility,Public,,,NANDI,Operating
Kibugat Dispensary,14856,Dispensaries and clinic-out patient only,Public,,,KERICHO,Operating
Uthiru Dispensary,11141,Dispensaries and clinic-out patient only,Public,,,KIAMBU,Operating
Girigiri Dispensary,16665,Dispensaries and clinic-out patient only,Public,,,MIGORI,Operating
Kisor Dispensary,14945,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
King'wal Dispensary,14887,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Kiptangwanyi Dispensary,14926,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Elangata Enterit Dispensary,14427,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Eldoret Airport Dispensary,14434,Dispensaries and clinic-out patient only,Public,,,UASIN GISHU,Operating
Kilibwoni Health Centre,14866,Basic primary health care facility,Public,,,NANDI,Operating
Tabolwa Dispensary,15696,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Lagos Road Dispensary,13039,Dispensaries and clinic-out patient only,Public,-1.282016,36.821734,NAIROBI,Operating
Kibendo Dispensary,14849,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Lodwar County Referral Hospital,15049,Secondary care hospitals,Public,3.122343,35.602429,TURKANA,Operating
Kipkabus Forest Dispensary,14892,Dispensaries and clinic-out patient only,Public,,,ELEGEYO-MARAKWET,Operating
Kiptulwa Dispensary,14932,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Kimolwet Dispensary,14875,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Kiplelji Dispensary,14903,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Getambwega Dispensary,13565,Dispensaries and clinic-out patient only,Public,,,MIGORI,Operating
Kiptenden Dispensary (Buret),14927,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Chemursoi Dispensary,14325,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Ilkerin Dispensary (Trans Mara),14564,Dispensaries and clinic-out patient only,Public,,,NAROK,Operating
Kinyach Dispensary,14888,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kiboino Dispensary,14855,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Mother Franciscan Mission Health Centre,15231,Basic primary health care facility,Kenya Episcopal Conference-Cat,,,NANDI,Operating
St Boniface Dispensary,15630,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,NANDI,Operating
Kaimosi Tea Dispensary,14644,Dispensaries and clinic-out patient only,Company Medical Service,,,NANDI,Operating
Kiptuno Dispensary,14933,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Coptic Hospital (Ngong Road),12905,Primary care hospitals,Christian Health Association o,,,NAIROBI,Operating
Kapsikak Tea Dispensary,14917,Dispensaries and clinic-out patient only,Company Medical Service,,,NANDI,Operating
Kipkoimet Tea Dispensary,14901,Dispensaries and clinic-out patient only,Company Medical Service,,,NANDI,Operating
Lebolos Dispensary,15016,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Mathari Hospital,13076,Secondary care hospitals,Public,-0.414033,36.919017,NAIROBI,Operating
