facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status
St Mary's Mission International Medical Clinic,20657,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Prestige Medical Clinic,20655,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Kiriri Dispensary,20654,Dispensaries and clinic-out patient only,Public,,,KIAMBU,Operating
Planet Clinic Ltd,20653,Administrative Offices,Private,,,NAIROBI,Operating
Rehema Medical Clinic,20652,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Kulamawe Nursing Home,20651,Basic primary health care facility,Private,,,ISIOLO,Operating
Koibarak Dispensary,20650,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Hillcrest Medical Clinic,20648,Dispensaries and clinic-out patient only,Private,,,UASIN GISHU,Operating
Rongo University College Clinic,20647,Dispensaries and clinic-out patient only,Public Institution,,,MIGORI,Operating
Kamburu Dispensary,20644,Dispensaries and clinic-out patient only,Public,,,KAJIADO,Operating
Becca Medical Clinic,20642,Dispensaries and clinic-out patient only,Public,,,MAKUENI,Operating
Congo medical services,20641,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Napak Dispensary,20638,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Karebur Dispensary,20637,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Kapkirwa Dispensary,20635,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Nduuri Dispensary,20633,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Jamii Health Services ( Marmanet),20630,Dispensaries and clinic-out patient only,Private,,,LAIKIPIA,Operating
Avenue Healthcare Thika,20628,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Soweto West Community Clinic,20627,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Karanja Road Community Clinic,20625,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Makina Community Clinic,20624,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Lindi Community Clinic,20623,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Silanga Community Clinic,20622,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Kianda 42 Community Clinic,20621,Dispensaries and clinic-out patient only,Public,,,NAIROBI,Operating
Oasis Specialist Hospital,20619,Primary care hospitals,Private,,,KISII,Operating
Mungetho Dispensary,20618,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Sasimua Dispensary,20617,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Hillside medical centre,20616,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
St. Mary Magdalene Clinic,20615,Dispensaries and clinic-out patient only,Private,,,EMBU,Operating
Kliniq,20614,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
Shalom Community Hospital Mukuyuni Satelite,20613,Dispensaries and clinic-out patient only,Private,,,MAKUENI,Operating
Wajir Beyond Zero Mobile Clinic,20612,Dispensaries and clinic-out patient only,Public,,,WAJIR,Operating
Marigo Dispensary,20610,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Kargi Health Centre,20609,Basic primary health care facility,Public,,,MARSABIT,Operating
Parkishon Dispensary,20608,Dispensaries and clinic-out patient only,Public,,,MARSABIT,Operating
Nopri Medical Clinic,20604,Dispensaries and clinic-out patient only,Private,,,KIAMBU,Operating
Medisol Clinic,20599,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Mombasa Road Medical centre,20597,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Munanda Dispensary,20596,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Tetu Dispensary,20595,Dispensaries and clinic-out patient only,Public,,,NAKURU,Operating
Katilia Dispensary,20593,Dispensaries and clinic-out patient only,Public,,,TURKANA,Operating
Lotubae (A.I.C) Dispensary,20592,Dispensaries and clinic-out patient only,Christian Health Association o,,,TURKANA,Operating
Kiima Kimwe,20590,Dispensaries and clinic-out patient only,Private,,,MACHAKOS,Operating
Baranga Dispensary,20589,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Star clinic,20588,Dispensaries and clinic-out patient only,Private,-0.096916,34.764711,KWALE,Operating
Qatar Medical Clinic,20587,Dispensaries and clinic-out patient only,Private,,,KWALE,Operating
Malomani Medical Clinic,20585,Dispensaries and clinic-out patient only,Private,,,KWALE,Operating
TB Central Reference Lab,20584,Laboratory,Public,,,NAIROBI,Operating
Microbiology Reference Lab,20583,Laboratory,Public,,,NAIROBI,Operating
Oncology Reference Lab,20582,Laboratory,Public,,,NAIROBI,Operating
National Blood Transfusion Services,20581,Laboratory,Public,,,NAIROBI,Operating
National HIV Reference Lab,20580,Laboratory,Public,,,NAIROBI,Operating
Maritati Dispensary,20578,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Ntirimiti Dispensary,20577,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Kibirichia Catholic Dispensary,20576,Dispensaries and clinic-out patient only,Kenya Episcopal Conference-Cat,,,MERU,Operating
Suba Medical Centre,20574,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Bumala CFW clinic,20572,Dispensaries and clinic-out patient only,Public,,,BUSIA,Operating
Wema Centre Medical Laboratory,20571,Laboratory,Laboratory Technician/Technolo,,,BUNGOMA,Operating
Muhuru Bay VCT Centre (Nyarami),20570,VCT,Public,,,MIGORI,Operating
Lwanda Konyango VCT Centre (Nyarami),20569,VCT,Public,,,MIGORI,Operating
Obware Health Centre,20568,Basic primary health care facility,Public,,,MIGORI,Operating
Thinyaine Dispensary,20567,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Mephibosheth Medical Clinic,20566,Dispensaries and clinic-out patient only,Private,,,KITUI,Operating
Dr Shanti Haria,20564,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
Mamlaka Medical Centre,20562,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
Kangutu Dispensary,20559,Dispensaries and clinic-out patient only,Public,,,THARAKA-NITHI,Operating
Njaina Dispensary,20558,Dispensaries and clinic-out patient only,Public,,,THARAKA-NITHI,Operating
Aga Khan Health Service Bungoma Centre,20557,Dispensaries and clinic-out patient only,Private,,,BUNGOMA,Operating
I Choose Life - Africa(Kileleshwa),20556,VCT,Public,,,KIAMBU,Operating
Karirana Medical Clinic,20555,Dispensaries and clinic-out patient only,Company Medical Service,,,KIAMBU,Operating
Dr Babu Bora clinic,20553,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
Dr B.K.Kariuki,20552,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
Dr Osore's Clinic,20551,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
Ilmotiok Dispensary,20546,Dispensaries and clinic-out patient only,Public,,,LAIKIPIA,Operating
Shabab Intergrated Medical Clinic,20545,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
matar-arba,20544,Dispensaries and clinic-out patient only,Public,,,ISIOLO,Operating
Kiarukungu Dispensary,20543,Basic primary health care facility,Public,,,KIRINYAGA,Operating
Toto Medicare,20542,Dispensaries and clinic-out patient only,Private,,,KILIFI,Operating
Technical university of Kenya Student/Staff Clinic,20540,Dispensaries and clinic-out patient only,Public Institution,,,NAIROBI,Operating
Interfelk Medical Centre,20539,Dispensaries and clinic-out patient only,Private,,,KISUMU,Operating
Aimon med clinic,20538,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
medicross ltd kawangware,20537,Basic primary health care facility,Private,,,NAIROBI,Operating
Khayega Medical Clinic,20536,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
Koduol Reru Dispensary,20531,Dispensaries and clinic-out patient only,Public,,,KISUMU,Operating
Doulos Youth Friendly And VCT (KCC),20529,VCT,Faith-Based,,,NAIROBI,Operating
Kamundugi dispensary,20525,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Absalom Wangulu Dispensary,20524,Dispensaries and clinic-out patient only,Public,,,KISUMU,Operating
Tumaini DiCE Kisumu,20523,Administrative Offices,Public,,,KISUMU,Operating
malaylay dispensary,20521,Dispensaries and clinic-out patient only,Public,,,GARISSA,Operating
Nacet Reproductive Health Care,20520,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
Fenway Medical Clinic,20519,Dispensaries and clinic-out patient only,Private,,,NYANDARUA,Operating
Chepkosa Dispensary,20518,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Kiriba Dispensary,20517,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
Mundobelwa Health centre,20516,Basic primary health care facility,Public,,,KAKAMEGA,Operating
Ebuhala Health Centre,20515,Basic primary health care facility,Public,,,KAKAMEGA,Operating
Ngendaptich Dispensary,20514,Dispensaries and clinic-out patient only,Public,,,LAIKIPIA,Operating
Tsunza Medical Centre,20513,Dispensaries and clinic-out patient only,Public,,,KWALE,Operating
Manyatta Community Medical Clinic,20512,Dispensaries and clinic-out patient only,Private,-0.09281,34.780277,KISUMU,Operating
Malikini Dispensary,20511,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Kanduri Dispensary,20508,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Stage View Medical Clinic - Likoni,20506,Dispensaries and clinic-out patient only,Private,,,MOMBASA,Operating
Sunrise City Medical Centre,20504,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Jaber Dispensary,20503,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Karurina Dispensary,20502,Dispensaries and clinic-out patient only,Public,,,EMBU,Operating
Nyangore Dispensary,20501,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Nyakunguru Dispensary,20500,Dispensaries and clinic-out patient only,Public,,,NANDI,Operating
Giika,20496,Dispensaries and clinic-out patient only,Public,,,MERU,Operating
Weyeta clinic,20495,Dispensaries and clinic-out patient only,Private,,,BUNGOMA,Operating
Bewa Medical clinic,20494,Dispensaries and clinic-out patient only,Private,,,BUNGOMA,Operating
Makhonge dispensary,20493,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Junda Dispensary,20491,Dispensaries and clinic-out patient only,Public,,,MOMBASA,Operating
Dessein Health Care,20489,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Lelgut Dispensary,20488,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Orokwo Dispensary,20487,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Magonoi Dispensary (Kabarnet),20486,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kasoiyo Dispensary,20485,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Kongoli Dispensary,20484,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Ranje Dispensary,20483,Dispensaries and clinic-out patient only,Public,,,BUNGOMA,Operating
Adoma Medical Clinic,20479,Dispensaries and clinic-out patient only,Private,,,MIGORI,Operating
Ayatya Dispensary,20475,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Rebeko Dispensary,20474,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Tiloi Dispensary,20470,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Tunoiwo Dispensary,20469,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
ST.James Memorial Medical Clinic,20468,Dispensaries and clinic-out patient only,Private,,,KAKAMEGA,Operating
Kapkombe Dispensary,20467,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
Akwichatis Health Centre,20457,Basic primary health care facility,Public,,,BARINGO,Operating
Krezze Dispensary,20456,Dispensaries and clinic-out patient only,Public,,,BARINGO,Operating
FAO Hope Medical Centre,20454,Basic primary health care facility,Private,,,BUSIA,Operating
Magaoni Health Centre,20453,Basic primary health care facility,Public,,,KWALE,Operating
Denticheck Clinical Services,20452,Dispensaries and clinic-out patient only,Private,,,NAKURU,Operating
Medecins Du Monde/France (Kangemi Kang'ora),20451,Administrative Offices,Public,,,NAIROBI,Operating
Josiah Community Medical Centre,20450,Dispensaries and clinic-out patient only,Private,,,NAIROBI,Operating
Kitui Dice,20448,Dispensaries and clinic-out patient only,Public Institution,,,KITUI,Operating
Ugua Pole Clinic,20444,Dispensaries and clinic-out patient only,Private,,,BUSIA,Operating
Equator Clinic,20443,Dispensaries and clinic-out patient only,Private,,,BUSIA,Operating
Jobefar Medical Services,20442,Dispensaries and clinic-out patient only,Private,,,BUSIA,Operating
Kiboson Dispensary,20440,Dispensaries and clinic-out patient only,Public,,,BOMET,Operating
