facility_name,facility_code,facility_type,latitude,longitude,admin1,status,ownership,country,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Kurangurik Health Centre,15002,Basic Health Centre,-1.06376,35.07789,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja Health Centre,15805,Basic Health Centre,0.04438,34.8298,Vihiga,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Village Of Hope,28369,Primary care hospitals,0.589325,34.929501,Uasin Gishu,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nkareta Dispensary,15363,Dispensary,-0.96611,35.74446,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Gichobo Dispensary,16400,Dispensary,-0.38711,35.97095,Nakuru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Olposimoru Dispensary,15431,Dispensary,-0.56168,35.76278,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Wheatland Health Services,16412,Medical Clinic,-0.602681,36.012569,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kirin Agribio (Yoder) Clinic,12335,Medical Clinic,-0.77024,37.31849,Embu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Galilee Medical Clinic,16244,Medical Clinic,-0.540607,37.4546,Embu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Medisprings Medical Centre,23338,Medical Clinic,-0.37432,35.9446,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Njipiship Dispensary,15356,Dispensary,-0.93576,35.00576,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Egerton University,14426,Primary care hospitals,-0.372158,35.931045,Nakuru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
St.Augustine Cfw Clinic(Embu),23329,Medical Clinic,-0.51213,37.51841,Embu,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ropheka Medical Clinic,23690,Medical Clinic,-0.3350273,35.9483974,Nakuru,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Palani Health Care Clinic,11731,Medical Clinic,-4.02190003,39.68243,Mombasa,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Nuthu Dispensary,25106,Dispensary,-0.442005,36.332678,Nakuru,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Entontol Dispensary,14471,Dispensary,-0.8708,36.0333,Narok,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Daraja Medical Clinic,13531,Medical Clinic,-0.66129,34.76314,Kisii,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Shambini Dispensary,28527,Dispensary,-4.090088,39.171857,Kwale,Operating,Public,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Jujani Medical Centre,26813,Medical Clinic,-0.75667,38.36788,Kitui,Operating,Private,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Olenkasurai Dispensary,16330,Dispensary,-0.90513,35.96867,Narok,Operating,Faith-Based / NGO,Kenya,Kenya Master Health Facility Registry (KMHFR) 2026,TRUE,NA,NA,KEN-011205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
