facility_name,facility_code,facility_type,latitude,longitude,admin1,status,country,ownership,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
Ebenezer private clinic,BT240377,Clinic,-15.746697,35.020051,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Edingeni,MZ160378,Hospital,-12.04072,33.31295,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ehehleni,MZ160379,Dispensary,-12.2621,33.58912,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
EKARI,NT120380,Clinic,-14.81,34.63,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ekhamuno,MU210381,Health Post,-16.0675917,35.46262,South West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ekwaiweni,MZ160382,Dispensary,-11.42309,33.89766,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ekwendeni near Market,MZ160383,Hospital,-11.37156,33.88342,North Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
El_ Barakah Private clinic,BT240384,Clinic,-15.68337,34.96584,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Eldorado,MU210385,Clinic,-16.06679,35.6139,South West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Elim Private Clinic,BT240386,Clinic,-15.8188,35.01231,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
