adm1,adm2,year,month,alls_ts,dhis2_ts,raw_positive_u5,raw_positive_all_ages,imput_u5,imput_all_ages,pred_counts_u5,pred_counts_all_ages,pop_u5,pop_total,alls_ts_pop_u5,alls_ts_pop_total,dhis2_ts_pop_u5,dhis2_ts_pop_total,pred_inc_u5,pred_inc_all_ages,pfpr_rdt
Oueme,Porto-Novo,2022,8,0.3413764536380768,0.257651150226593,766,4181,766,4181,425.794860839844,1422.88798338778,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.0071059371645974525,0.004171835644846454,0.204916092053233
Oueme,Porto-Novo,2022,9,0.3413764536380768,0.257651150226593,352,2347,352,2347,150.345596313477,897.071634174933,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.002509063538884147,0.002630168687292735,0.154333264712615
Oueme,Porto-Novo,2022,10,0.3413764536380768,0.257651150226593,423,2544,423,2544,103.244842529297,771.968710696514,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.001723016013239048,0.0022633732392075352,0.129541714133025
Oueme,Porto-Novo,2022,11,0.3413764536380768,0.257651150226593,508,3209,508,3209,261.932891845703,1524.14893876917,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.004371303747362411,0.004468727647606562,0.128442864690753
Oueme,Porto-Novo,2022,12,0.3413764536380768,0.257651150226593,572,4032,577.368623979102,4041.511349343742,653.811889648438,4271.60863437535,59921,341070,20455.6184784472,116433.26704233885,15438.71457272768,87877.07780778408,0.01091123128199526,0.012524140599804588,0.186892161583548
Oueme,Porto-Novo,2023,1,0.3413764536380768,0.257651150226593,458,2952,458,3001.63074498381,431.007049560547,2065.77942395168,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.007442319506165231,0.006204697042547502,0.214129271824135
Oueme,Porto-Novo,2023,2,0.3413764536380768,0.257651150226593,265,1596,265,1596,337.445251464844,1560.66564988319,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.0058267617195594075,0.004687556391529925,0.186655436123507
Oueme,Porto-Novo,2023,3,0.3413764536380768,0.257651150226593,264,1569,264,1569,413.329376220703,1866.25893978007,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.007137074166779531,0.005605424853216124,0.172368498896691
Oueme,Porto-Novo,2023,4,0.3413764536380768,0.257651150226593,289,1725,289,1725,354.25830078125,1428.77632044568,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.006117077353638216,0.0042914185837774005,0.15256053917973
Oueme,Porto-Novo,2023,5,0.3413764536380768,0.257651150226593,361,2600,361,2600,337.531433105469,1612.55043645401,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.00582824984209882,0.004843395576515777,0.13475978865759
Oueme,Porto-Novo,2023,6,0.3413764536380768,0.257651150226593,458,3590,458,3590,693.80029296875,4269.39027294518,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.011980044082826826,0.012823379346740774,0.183808015733571
Oueme,Porto-Novo,2023,7,0.3413764536380768,0.257651150226593,702,4750,727.775426479818,4800.789754505758,910.449462890625,4512.48373508983,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.015720986011614403,0.013553525686733955,0.266980725173397
Oueme,Porto-Novo,2023,8,0.3413764536380768,0.257651150226593,507,3265,507,3297.98113823996,808.268188476562,3270.30979878195,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.013956593311977657,0.009822578975010212,0.290700127915379
Oueme,Porto-Novo,2023,9,0.3413764536380768,0.257651150226593,282,2023,282,2023,532.829284667969,2013.64093406913,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.009200512573480375,0.006048095843878229,0.256123960070334
Oueme,Porto-Novo,2023,10,0.3413764536380768,0.257651150226593,267,1816,267,1816,317.477874755859,1039.06888252176,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.0054819794304535934,0.0031209080445060646,0.200358316532163
Oueme,Porto-Novo,2023,11,0.3413764536380768,0.257651150226593,251,1752,251,1752,260.680816650391,1096.4112554788,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.004501248711867647,0.003293139429800143,0.156018254898047
Oueme,Porto-Novo,2023,12,0.3413764536380768,0.257651150226593,264,1650,264,1650,407.650848388672,2210.59515730493,57913,332938,19770.13455954194,113657.19372135401,14921.351063072681,85781.85865414143,0.007039021435406074,0.006639660108803832,0.152825429201885
Oueme,Porto-Novo,2024,1,0.3413764536380768,0.257651150226593,162,1109,162,1109,233.332870483398,904.125264722501,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.003749463619151195,0.0026518525631194284,0.136524378463078
Oueme,Porto-Novo,2024,2,0.3413764536380768,0.257651150226593,124,969,124,969,215.182373046875,1002.66231702705,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.0034578003414194695,0.00294086753141174,0.109367425660854
Oueme,Porto-Novo,2024,3,0.3413764536380768,0.257651150226593,190,1004,190,1004,225.876586914062,1196.78270155121,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.0036296473930044833,0.003510234033311365,0.0992159218218807
Oueme,Porto-Novo,2024,4,0.3413764536380768,0.257651150226593,171,1023,171,1023,210.817169189453,1293.37191309151,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.003387655174904035,0.0037935358701109865,0.0954957894267356
Oueme,Porto-Novo,2024,5,0.3413764536380768,0.257651150226593,181,1333,181,1333,203.643524169922,1336.91275811686,62231,340941,21244.198086351156,116389.22947981954,16033.88872975111,87843.84080940485,0.003272380713308833,0.00392124372872978,0.096736240520235
